UniqueNameLabel,SubClassLabel
ABSORBER,ACOUSTIC NOISE REDUCTION PLATE
ABSORBER,LIQUID ABSORBER
ABSORBER,SHOCK ABSORBER
ABSORBER,SOUND ATTENUATOR
ACCOMODATOR,ACCOMODATION CONTAINER
ACCOMODATOR,PIPE EXPANSION ACCOMODATOR
ACCREDITOR,ACCREDITATION BODY
ACCUMULATOR,ELECTRIC ACCUMULATOR
ACCUMULATOR,FLUID ACCUMULATOR
ACCUMULATOR,FLUID ACCUMULATOR (RETIRED)
ACCUMULATOR,accumulator
ACTUATOR,ACTUATOR WITH MANUAL RESET
ACTUATOR,CIRCUIT BREAKER TRIP MECHANISM
ACTUATOR,CONTROLLED ACTUATOR
ACTUATOR,EMERGENCY RELEASE BOX
ACTUATOR,EMERGENCY SHUT DOWN STATION
ACTUATOR,FIRE ALARM BUTTON
ACTUATOR,FLANGE MOUNTED ACTUATOR
ACTUATOR,FULL-TURN ACTUATOR
ACTUATOR,LINEAR ACTUATOR
ACTUATOR,MANUAL ACTUATOR
ACTUATOR,ON-OFF ACTUATOR
ACTUATOR,PART TURN ACTUATOR
ACTUATOR,RACK AND PINION ACTUATOR
ACTUATOR,ROTARY ACTUATOR
ACTUATOR,WEIGHT ACTUATOR
ACTUATOR,WINDING GEAR
ADDRESSER,ADDRESSABLE FIRE ALARM BUTTON
AERATOR,AERATION BASIN
AERATOR,AIR GRID
AERATOR,FLUIDISATION RING
AERATOR,PREFLUIDISATION RING
AERATOR,aerator
AGGLOMERATOR,RECIPROCATING PRESSURE AGGLOMERATOR
AGGLOMERATOR,ROTATING GROWTH AGGLOMERATOR
AGGLOMERATOR,ROTATING PRESSURE AGGLOMERATOR
AIR HANDLER,AIR HANDLING UNIT
AMPLIFIER,BUFFER AMPLIFIER
AMPLIFIER,PNEUMATIC AMPLIFIER
AMPLIFIER,PREAMPLIFIER
AMPLIFIER,REPEATER
AMPLIFIER,SIGNAL AMPLIFIER
AMPLIFIER,amplifier
APPROVER,
ARRESTOR,BUCKLE ARRESTOR
ARRESTOR,FALL ARRESTOR
ARRESTOR,FLAME ARRESTOR
ARRESTOR,LOCK
ARRESTOR,LOCK AND DOOR CLOSER ASSEMBLY
ARRESTOR,SPARK ARRESTOR
ARRESTOR,arrestor
ATOMISER,
ATTENUATOR,SOUND ATTENUATOR
ATTENUATOR,TELECOMMUNICATIONS ATTENUATOR
AUTHOR,
BALANCER,AIR BALANCING UNIT
BALANCER,BALANCE COUNTER DISC
BALANCER,BALANCE DISC
BALANCER,BALANCING BUS
BALANCER,BALANCING GEAR
BALANCER,BALANCING RING
BALANCER,BALANCING WEIGHT
BALANCER,COUNTERWEIGHT
BALANCER,PRESSURE BALANCING TUBE
BALANCER,THRUST BALANCE ASSEMBLY
BENDER,BENDING MACHINE
BENDER,PIPE BENDER
BLOCKER,BARRIER
BLOCKER,BLOCKING MECHANISM
BLOCKER,LINE BLIND
BLOCKER,PLUG
BLOCKER,PLUG AND CHAIN ASSEMBLY
BLOCKER,SCREEN
BLOCKER,SEAL PAN
BLOCKER,SHAFT KEY
BLOCKER,SLUICE
BLOCKER,SPADE
BLOWER,AIR BLOWER
BLOWER,AXIAL BLOWER
BLOWER,CENTRIFUGAL BLOWER
BLOWER,blower
BRAKE,AUXILIARY BRAKE
BRAKE,BRAKE UNIT
BRAKE,ELECTRIC BRAKE
BRAKE,ELECTROMAGNETIC BRAKE
BRAKE,MECHANICAL BRAKE
BRAKE,brake
BREATHER,BREATHING APPARATUS
BREATHER,DEHYDRATING BREATHER
BREATHER,VENT HEAD
BRIDGE,MOVABLE BRIDGE
BRIDGE,SUSPENSION BRIDGE
BRIDGE,bridge
BURNER,COAL BURNER
BURNER,DUAL FUEL BURNER ELEMENT
BURNER,FLARE
BURNER,FLARE TIP
BURNER,IGNITION BURNER
BURNER,LINE BURNER
BURNER,LOW-NOX BURNER
BURNER,MAIN BURNER
BURNER,OPEN BURNER
BURNER,PREMIX BURNER
BURNER,RAW-GAS BURNER
BURNER,START UP BURNER
BURNER,SWIRL BURNER
BURNER,WASTE-GAS BURNER
BURNER,combination
BURNER,nozzle
BURNER ELEMENT,FUEL GAS BURNER ELEMENT
BURNER ELEMENT,FUEL OIL BURNER ELEMENT
BUYER(function),
CABLE ENTRY,CABLE ENTRY 8 - 17 MM
CABLE ENTRY,POWER CABLE ENTRY
CABLE ENTRY,SIGNAL CABLE ENTRY
CARRIER,BOGIE
CARRIER,CASTOR
CARRIER,FREIGHT CARRIER
CARRIER,INFORMATION CARRIER
CARRIER,PALLET
CARRIER,PERSONNEL CARRIER
CARRIER,POWER CARRIER
CARRIER,TRANSPORTABLE CONTAINER
CATALYST,
CATCHER,LIQUID CATCHER
CATCHER,PLUG CATCHER
CATCHER,PROCESS CATCHER
CERTIFIER,ACCREDITED CERTIFICATION BODY
CHLORINATOR,
CLEANER,CLEANING MACHINE
CLOSURE,CLOSURE PLATE
CLOSURE,RAM
CLOSURE,SEAL
CLOSURE,VALVE CLOSURE DISC
CLOSURE,VALVE CLOSURE MEMBER
COATING,DAMAGED COATING
COATING,OVERLAY
COATING LAYER,CERAMIC COATING
COATING LAYER,CONCRETE COATING
COATING LAYER,ENAMEL COATING
COATING LAYER,EPOXY COATING
COATING LAYER,EXTERNAL COATING
COATING LAYER,INTERNAL COATING
COATING LAYER,LINING
COATING LAYER,METALLIC COATING
COATING LAYER,ORGANIC COATING
COATING LAYER,POLYETHYLENE COATING
COATING LAYER,POLYPROPYLENE COATING
COATING LAYER,POLYURETHANE COATING
COATING LAYER,PRESERVATION COATING
COATING LAYER,PRIMER
COATING LAYER,PROTECTIVE COATING
COATING LAYER,WEIGHT COATING
COLLECTOR,COLLECTING CONE
COLLECTOR,DISTANCE PIECE LIQUID COLLECTION POT
COLLECTOR,DUST COLLECTOR
COMMISSIONER,COMMISSIONER FOR OATHS
COMMISSIONER,DATA COMMISSIONER
COMMUNICATIONS DEVICE,FAX MACHINE
COMMUNICATIONS DEVICE,PAGER
COMMUNICATIONS DEVICE,RADIO
COMMUNICATIONS DEVICE,TELECOMMUNICATIONS TRANSMITTER
COMMUNICATIONS DEVICE,TELEPHONE
COMMUNICATIONS DEVICE,TELEPHONE SWITCHBOARD
COMMUNICATIONS DEVICE,TRANSCEIVER
COMPACTOR,WASTE COMPACTOR
COMPENSATOR,PIPING BELLOWS UNIT
COMPENSATOR,compensator
COMPRESSOR,AIR COMPRESSOR
COMPRESSOR,AXIAL COMPRESSOR
COMPRESSOR,CENTRIFUGAL COMPRESSOR
COMPRESSOR,COMPRESSOR SYSTEM
COMPRESSOR,DYNAMIC COMPRESSOR
COMPRESSOR,EXPANDER-COMPRESSOR SYSTEM
COMPRESSOR,MIXED FLOW COMPRESSOR
COMPRESSOR,NATURAL GAS COMPRESSOR
COMPRESSOR,POSITIVE DISPLACEMENT COMPRESSOR
COMPRESSOR,RECYCLE GAS COMPRESSOR
COMPRESSOR,REFRIGERANT COMPRESSOR
COMPRESSOR,THERMAL COMPRESSOR
COMPRESSOR,TURBOCHARGER
COMPRESSOR,TURBOCHARGER COMPRESSOR
COMPRESSOR,VACUUM COMPRESSOR
COMPRESSOR,WET GAS COMPRESSOR
COMPRESSOR,compressor
COMPUTER,BICYCLE TRIP COMPUTER
COMPUTER,COMPUTER ARTEFACT
COMPUTER,REMOTE TERMINAL UNIT
COMPUTER,computer
CONDITIONER,AIR CONDITIONER
CONDITIONER,OIL CONDITIONER
CONDUCTOR,ELECTRICAL CONDUCTOR
CONDUCTOR,FLUID CONDUCTOR
CONDUCTOR,FLYING LEAD
CONDUCTOR,HEAT CONDUCTOR
CONDUCTOR,SIGNAL CIRCUIT ELEMENT
CONDUCTOR,SIGNAL CONDUCTOR
CONDUCTOR OF CABLES,
CONDUIT,CONDUIT(tube)
CONNECTION POINT,CASING CONNECTION POINT
CONNECTION POINT,FIRST END CONNECTION
CONNECTION POINT,FLANGED CONNECTION POINT
CONNECTION POINT,FLUID CONNECTION POINT
CONNECTION POINT,INSTRUMENT CONNECTION
CONNECTION POINT,INSTRUMENT CONNECTION POINT
CONNECTION POINT,POWER CONNECTION POINT
CONNECTION POINT,SAMPLE CONNECTION POINT
CONNECTION POINT,SCREWED  CONNECTION POINT
CONNECTION POINT,SECOND END CONNECTION
CONNECTION POINT,THERMOWELL CONNECTION POINT
CONNECTOR,ADAPTER
CONNECTOR,CABLE CONNECTOR
CONNECTOR,CABLE JOINT
CONNECTOR,CIRCUIT BOARD
CONNECTOR,ELECTRICAL CONNECTOR
CONNECTOR,FIBRE OPTIC POD
CONNECTOR,FLANGE
CONNECTOR,FUNCTIONAL CONNECTOR
CONNECTOR,HOOK
CONNECTOR,HOSE CONNECTOR
CONNECTOR,HOSE COUPLING SWIVEL
CONNECTOR,HOSE NIPPLE
CONNECTOR,HYDRAULIC CONNECTOR
CONNECTOR,INJECTION NIPPLE
CONNECTOR,INSTRUMENT FITTING
CONNECTOR,JUMPER BOARD
CONNECTOR,MECHANICAL CABLE
CONNECTOR,MECHANICAL PIPE CONNECTOR
CONNECTOR,MULTIPLE QUICK CONNECTOR
CONNECTOR,NOZZLE
CONNECTOR,PHYSICAL CONNECTOR
CONNECTOR,PIPING NETWORK BRANCH
CONNECTOR,RIVET
CONNECTOR,ROAD
CONNECTOR,SCREW-THREAD INSERT
CONNECTOR,SHACKLE
CONNECTOR,SINGLE TURRET LOADING
CONNECTOR,SLIDE VALVE PUSH ROD
CONNECTOR,SUBSEA FLOWLINE JUMPER
CONNECTOR,SUBSEA WELL JUMPER
CONNECTOR,TENDON
CONNECTOR,TERMINATION HEAD
CONNECTOR,WELD
CONNECTOR,WOODRUFF KEY
CONTAINER,AIR LOCKER
CONTAINER,BIN
CONTAINER,BOX
CONTAINER,CARTON
CONTAINER,DISTANCE PIECE LIQUID COLLECTION POT
CONTAINER,DRUM
CONTAINER,DUST COLLECTOR
CONTAINER,EQUIPMENT BODY
CONTAINER,FLARE MIXING CONE
CONTAINER,FLUID CONTAINER
CONTAINER,HOPPER
CONTAINER,INSTRUMENT BODY
CONTAINER,LEVEL MEASURING CHAMBER
CONTAINER,MIXING CONE
CONTAINER,NON-TRANSPORTABLE CONTAINER
CONTAINER,OIL PAN
CONTAINER,PLATE ENCLOSURE
CONTAINER,PRESSURIZED CONTAINER
CONTAINER,RESERVOIR
CONTAINER,SAMPLE VESSEL
CONTAINER,SILO
CONTAINER,SURFACE BOX
CONTAINER,TANK
CONTAINER,TRANSPORTABLE CONTAINER
CONTAINER,VALVE BODY
CONTRACTOR,EPC CONTRACTOR
CONTROL ELEMENT,ALARM CONTROL ELEMENT
CONTROL ELEMENT,CONTROL FUNCTION ELEMENT
CONTROL LOOP,
CONVERTER,CHEMICAL CONVERTER
CONVERTER,ELECTRICAL TO OPTICAL CONVERTER
CONVERTER,ENCODER
CONVERTER,ENERGY CONVERTER
CONVERTER,MOTION CONVERTER
CONVERTER,SIGNAL CONVERTER
CONVEYOR,DUCT
CONVEYOR,SIGNAL CONVEYOR
CONVEYOR,SOLIDS CONVEYOR
COPIER,COPY MACHINE
COUNTER,HOUR COUNTER
COUNTER,OPERATIONS COUNTER
COUNTER,PULSE COUNTER
COUNTER,counter
COUNTERBALANCE,AIR-BALANCED UNIT
COUPLER,CONNECTION
COUPLER,DISCONNECT COUPLING
COUPLER,FLUID COUPLING
COUPLER,HOSE COUPLING
COUPLER,MECHANICAL POWER TRANSMISSION COUPLING
COUPLER,PIPE COUPLING
COUPLER,PIPELINE COUPLING
COUPLER,QUICK RELEASE COUPLING
COUPLER,STRAIGHT LINE COUPLING
COUPLER,coupling
CRACKER,CATALYTIC CRACKER
CRACKER,ETHYLENE CRACKING FURNACE
CRACKER,HYDROCRACKER
CRACKER,THERMAL CRACKER
CRYOGENIC DEVICE,CRYOGENIC HEAT EXCHANGER
CRYOGENIC DEVICE,CRYOGENIC VALVE
CRYSTALLISER,FREEZE CONDENSER
DAMPER,DASHPOT
DAMPER,GAS FLOW DAMPER
DAMPER,PULSATION DAMPER
DAMPER,SHOCK ABSORBER
DAMPER,THROTTLING DAMPER
DAMPER,VIBRATION DAMPER
DAMPER,damper
DEAERATOR,CATALYTIC DEAERATOR
DEHUMIDIFIER,dehumidifier
DEHYDRATOR,DEHYDRATING BREATHER
DEIONISER,
DELAYER,DELAY LINE
DELIVERER,
DEMINERALIZER,DEMINERALIZING UNIT
DEMISTER,DEMISTER PAD
DEMISTER,WIRE MESH DEMISTER
DEMISTER,WIREMESH DEMISTER
DEMISTER,demister
DEMODULATOR,MODEM
DEMODULATOR,OSCILLATOR - DEMODULATOR
DEMODULATOR,OSCILLATOR-DEMODULATOR
DESCRIPTOR,DESCRIPTION
DEVICE,BICYCLE ACCESSORY ATTACHMENTS
DEVICE,COFFEEMAKER
DEVICE,DIFFUSOR (TWEE RDS NUMMERS)
DEVICE,FUEL FILTER DEVICE
DEVICE,HEATER ELEMENT
DEVICE,HEATING DEVICE
DEVICE,INTERNAL DEVICE
DEVICE,LIFTING APPLIANCE
DEVICE,PENETRATION
DEVICE,SEPARATOR (RETIRED)
DEVICE,START ENERGY SOURCE
DIFFUSER,AXIAL DIFFUSER
DIFFUSER,EXHAUST DIFFUSER
DIFFUSER,EXTRACT GRILLE DIFFUSER
DIFFUSER,INLET DIFFUSER
DIFFUSER,SUPPLY GRILLE DIFFUSER
DIFFUSER,VALVE OUTLET DIFFUSER
DIFFUSER,diffuser
DIRECTING OBJECT,BAFFLE
DIRECTING OBJECT,BYPASS
DIRECTING OBJECT,CENTRALIZER
DIRECTING OBJECT,COMPASS
DIRECTING OBJECT,FLOW STRAIGHTENING VANE
DIRECTING OBJECT,FLUID REGULATOR CAP
DIRECTING OBJECT,MONORAIL
DIRECTING OBJECT,RAIL SHUNT
DIRECTING OBJECT,RAIL TRACK
DIRECTING OBJECT,SPRAY
DIRECTING OBJECT,VORTEX BREAKER
DISCIPLINE,ARCHITECTURAL ENGINEERING DISCIPLINE
DISCIPLINE,CIVIL ENGINEERING DISCIPLINE
DISCIPLINE,COMMISSIONING DISCIPLINE
DISCIPLINE,COMMISSIONING TEAM
DISCIPLINE,CONTRACTING AND PROCUREMENT DISCIPLINE
DISCIPLINE,CONTROL SYSTEMS ENGINEERING DISCIPLINE
DISCIPLINE,COST AND PLANNING DISCIPLINE
DISCIPLINE,DISCIPLINE SPECIALTY GROUP
DISCIPLINE,ELECTRICAL ENGINEERING DISCIPLINE
DISCIPLINE,ENVIRONMENTAL ENGINEERING DISCIPLINE
DISCIPLINE,FINANCE DISCIPLINE
DISCIPLINE,GEOLOGY DISCIPLINE
DISCIPLINE,GEOMATICS DISCIPLINE
DISCIPLINE,GEOPHYSICS DISCIPLINE
DISCIPLINE,GEOTECHNICAL AND FOUNDATION DISCIPLINE
DISCIPLINE,HEALTH PROTECTION DISCIPLINE
DISCIPLINE,HEALTH SAFETY ENVIRONMENT SERVICE DISCIPLINE
DISCIPLINE,HUMAN RESOURCES DISCIPLINE
DISCIPLINE,HVAC ENGINEERING DISCIPLINE
DISCIPLINE,INFORMATION MANAGEMENT DISCIPLINE
DISCIPLINE,INFORMATION TECHNOLOGY DISCIPLINE
DISCIPLINE,LOGISTICS MANAGEMENT DISCIPLINE
DISCIPLINE,MAINTENANCE ENGINEERING DISCIPLINE
DISCIPLINE,MAINTENANCE MANAGEMENT DISCIPLINE
DISCIPLINE,MATERIALS AND CORROSION ENGINEERING DISCIPLINE
DISCIPLINE,MECHANICAL ENGINEERING DISCIPLINE
DISCIPLINE,METOCEAN AND ICE DATA ACQUISITION DISCIPLINE
DISCIPLINE,OCEAN ENGINEERING DISCIPLINE
DISCIPLINE,OCEAN ENGINEERING TEAM
DISCIPLINE,OPERATIONS MANAGEMENT DISCIPLINE
DISCIPLINE,PETROLEUM PRODUCTION ENGINEERING DISCIPLINE
DISCIPLINE,PETROPHYSICS DISCIPLINE
DISCIPLINE,PIPELINE ENGINEERING DISCIPLINE
DISCIPLINE,PIPING ENGINEERING DISCIPLINE
DISCIPLINE,PROCESS ENGINEERING DISCIPLINE
DISCIPLINE,PROJECT MANAGEMENT AND ENGINEERING DISCIPLINE
DISCIPLINE,QUALITY ASSURANCE DISCIPLINE
DISCIPLINE,RESERVOIR ENGINEERING DISCIPLINE
DISCIPLINE,ROTATING EQUIPMENT ENGINEERING DISCIPLINE
DISCIPLINE,SAFETY ENGINEERING DISCIPLINE
DISCIPLINE,SECURITY SERVICE DISCIPLINE
DISCIPLINE,STATIC EQUIPMENT ENGINEERING DISCIPLINE
DISCIPLINE,STRUCTURAL ENGINEERING DISCIPLINE
DISCIPLINE,SUBSEA ENGINEERING DISCIPLINE
DISCIPLINE,TELECOMMUNICATIONS ENGINEERING DISCIPLINE
DISCIPLINE,WELL ENGINEERING DISCIPLINE
DISPLACER,PISTON
DISPLAY,BICYCLE DISPLAY
DISPLAY,DIGITAL DISPLAY
DISPLAY,MARKER
DISPLAY,NAME PLATE
DISTILLER,DISTILLATION COLUMN
DISTILLER,DISTILLATION SEPARATOR
DISTILLER,DISTILLATION UNIT
DISTRIBUTOR,ANNULAR DISTRIBUTOR
DISTRIBUTOR,CATALYST DISTRIBUTOR
DISTRIBUTOR,DISTRIBUTOR PAN
DISTRIBUTOR,DISTRIBUTOR TRAY
DISTRIBUTOR,GAS DISTRIBUTOR
DISTRIBUTOR,LIQUID DISTRIBUTOR
DISTRIBUTOR,LOGIC CAP
DISTRIBUTOR,POWER DISTRIBUTOR
DISTRIBUTOR,PREDISTRIBUTOR
DISTRIBUTOR,REDISTRIBUTOR
DISTRIBUTOR,SPIDER
DISTRIBUTOR,STRESS DISTRIBUTOR
DISTRIBUTOR,SUBSEA DISTRIBUTION UNIT
DISTRIBUTOR,SUBSEA MANIFOLD MODULE
DISTRIBUTOR,VANE INLET DISTRIBUTOR
DISTRIBUTOR,WEIR DISTRIBUTOR
DIVERTER,DIVERTER SPOOL
DIVERTER,DIVERTER VALVE
DIVERTER,WELL FLUID DIVERTER
DIVIDER(separator),BARRIER
DIVIDER(separator),BULKHEAD PLATE
DIVIDER(separator),FIRE DIVIDER
DIVIDER(separator),PASS PARTITION PLATE
DIVIDER(separator),TUBE SHEET
DIVIDER(separator),WALL
DOCUMENT,AGREEMENT RECORD
DOCUMENT,ASSURANCE PROCEDURE
DOCUMENT,BROCHURE
DOCUMENT,CALCULATION SHEET
DOCUMENT,CATALOG
DOCUMENT,CERTIFICATE
DOCUMENT,CHANGE CONTROL PROCEDURE
DOCUMENT,CHART
DOCUMENT,COMMISSIONING PROCEDURE
DOCUMENT,COMMUNICATIONS PROCEDURE
DOCUMENT,CONTRACT
DOCUMENT,CONTROL PROCEDURE
DOCUMENT,CORRESPONDENCE
DOCUMENT,CORROSION INHIBITION SYSTEM DESIGN
DOCUMENT,COST CONTROL PROCEDURE
DOCUMENT,COUNTRY REGULATIONS PROCEDURE
DOCUMENT,DATASHEET
DOCUMENT,DECLARATION
DOCUMENT,DIAGRAM
DOCUMENT,DIRECTIVE
DOCUMENT,DOCUMENT AND DATA CONTROL PROCEDURE
DOCUMENT,DRAWING
DOCUMENT,EMERGENCY RESPONSE PROCEDURE
DOCUMENT,ENQUIRY
DOCUMENT,FORMING AND HEAT TREATMENT PROCEDURE
DOCUMENT,"HANDLING, SHIPPING AND STORAGE PROCEDURE"
DOCUMENT,HISTOGRAM
DOCUMENT,INSPECTION PROCEDURE
DOCUMENT,INSTALLATION PROCEDURE
DOCUMENT,INTERFACE DOCUMENT
DOCUMENT,INTERFACE PROCEDURE
DOCUMENT,JOB DESCRIPTION
DOCUMENT,LINE ITEM
DOCUMENT,LIST
DOCUMENT,MAINTENANCE PROCEDURE
DOCUMENT,MANIFEST
DOCUMENT,MAP
DOCUMENT,MATERIAL MANAGEMENT PROCEDURE
DOCUMENT,MATRIX REPRESENTATION
DOCUMENT,MEMORANDUM
DOCUMENT,MULTIMEDIA DOCUMENT
DOCUMENT,NARRATIVE
DOCUMENT,NON-DESTRUCTIVE TEST PROCEDURE
DOCUMENT,NOTICE
DOCUMENT,OPERATING PROCEDURE
DOCUMENT,PACKING AND SHIPPING PROCEDURE
DOCUMENT,PHILOSOPHY REPORT
DOCUMENT,PLAN
DOCUMENT,PLANNING PROCEDURE
DOCUMENT,POLICY
DOCUMENT,PRESSURE TEST PROCEDURE
DOCUMENT,PROPOSAL
DOCUMENT,QUALITY PROCEDURE
DOCUMENT,QUOTATION
DOCUMENT,REPORT
DOCUMENT,REQUEST RECORD
DOCUMENT,REQUISITION
DOCUMENT,SCOPE OF WORK
DOCUMENT,SPECIFICATION
DOCUMENT,STRATEGY DOCUMENT
DOCUMENT,SUMMARY
DOCUMENT,SURFACE PROTECTION PROCEDURE
DOCUMENT,TECHNICAL PROJECT DOCUMENTATION
DOCUMENT,TERMS OF REFERENCE
DOCUMENT,TEST PROCEDURE
DOCUMENT,VALIDATION PROCEDURE
DOCUMENT,VENDOR DOCUMENT
DOCUMENT,WARRANTY DOCUMENT
DOCUMENT,WEIGHING PROCEDURE
DOCUMENT,WELDING PROCEDURE QUALIFICATION
DOCUMENT,WELDING REPAIR PROCEDURE
DOCUMENT,WELL KILLING PROCEDURE
DOCUMENT,general document
DOCUMENTER,DATA DOCUMENTER
DREDGER,BAILER
DRILLER,DRILLING MACHINE
DRYER,CONVECTION DRYER
DRYER,DRYING CHAMBER
DRYER,FLASH DRYER
DRYER,FLUID BED DRYER
DRYER,HEATED SURFACE DRYER
DRYER,TUMBLE DRYER
DRYER,WELDING ROD DRYING OVEN
DRYER,drier
EDITOR,PCA RDL EDITOR
ELBOW,CABLE LADDER RISER
ELBOW,CABLE TRAY RISER
ELBOW,CABLE TRUNK RISER
ELBOW,PIPE ELBOW
ELECTRICAL DEVICE,ALTERNATING CURRENT DEVICE
ELECTRICAL DEVICE,ANODE
ELECTRICAL DEVICE,ANTI STATIC ARTEFACT
ELECTRICAL DEVICE,CATHODE
ELECTRICAL DEVICE,DIRECT CURRENT DEVICE
ELECTRICAL DEVICE,ELECTRICAL APPARATUS
ELECTRICAL DEVICE,ELECTRICAL ELEMENT
ELECTRICAL DEVICE,ELECTRICAL REACTOR
ELECTRICAL DEVICE,ELECTRICAL SOURCE
ELECTRICAL DEVICE,OSCILLATOR
ELECTRICAL DEVICE,THERMAL RATED ELECTRICAL ARTEFACT
ELECTROMECHANICAL DEVICE,ELECTROMECHANICAL POSITION SWITCH
ELECTROMECHANICAL DEVICE,ELECTROMECHANICAL RELAY
ELECTROMECHANICAL DEVICE,SOLENOID ACTUATOR
EMITTER,ENERGY EMITTER
EMITTER,RADIOACTIVE SOURCE
EMITTER,WASTE GAS EMITTER
ENABLER,ACCESS ENABLER
ENABLER,CLIMBING NET
ENABLER,DESCENDING ENABLER
ENABLER,PASSAGE
ENABLER,PROCESS CONTACTOR
ENCLOSURE,ACOUSTIC ENCLOSURE
ENCLOSURE,BARREL ENCLOSURE
ENCLOSURE,BATTERY CASING
ENCLOSURE,BUS DUCT ENCLOSURE
ENCLOSURE,CABINET
ENCLOSURE,CABLE BOX
ENCLOSURE,CABLE END CAP
ENCLOSURE,CABLE SHROUD
ENCLOSURE,CAISSON
ENCLOSURE,CASING
ENCLOSURE,CHAMBER
ENCLOSURE,DIAPHRAGM CASING
ENCLOSURE,DRAINS SUBCOOLING ZONE ENCLOSURE
ENCLOSURE,ELECTRICAL APPARATUS ENCLOSURE
ENCLOSURE,GAS CAP
ENCLOSURE,GUARD
ENCLOSURE,HOOD
ENCLOSURE,HOUSING
ENCLOSURE,HYDRANT ENCLOSURE
ENCLOSURE,JACKET
ENCLOSURE,JUNCTION BOX
ENCLOSURE,JUNCTION BOX ENCLOSURE
ENCLOSURE,MOTOR ENCLOSURE
ENCLOSURE,PROBE HOLDER
ENCLOSURE,PUSH-BUTTON ENCLOSURE
ENCLOSURE,PUSH-PULL CABLE CASING
ENCLOSURE,REACTOR ENCLOSURE
ENCLOSURE,STEAM CHEST
ENCLOSURE,STEAMATION BOX
ENCLOSURE,STEM ENCLOSURE
ENCLOSURE,SWITCHGEAR AND CONTROL GEAR ENCLOSURE
ENCLOSURE,THERMOWELL STEM
ENCLOSURE,TRANSFORMER DISCONNECTING BOX ENCLOSURE
ENCLOSURE,enclosure
ENERGY STORAGE,ELECTRIC ACCUMULATOR
ENERGY TRANSFERRER,CLUTCH
ENERGY TRANSFERRER,COIL
ENERGY TRANSFERRER,DRIVE BELT
ENERGY TRANSFERRER,DRIVE SHAFT
ENERGY TRANSFERRER,ELECTRIC LINE
ENERGY TRANSFERRER,FLUID COUPLING
ENERGY TRANSFERRER,MECHANICAL POWER TRANSMISSION COUPLING
ENERGY TRANSFERRER,POWER TRANSMISSION APPLIANCE
ENGINEER,PROCESS ENGINEER
EQUIPMENT ITEM,DRIVEN EQUIPMENT
EQUIPMENT ITEM,Equipment
EVAPORATOR,FALLING FILM EVAPORATOR
EVAPORATOR,REFRIGERATION EVAPORATOR
EVAPORATOR,THIN FILM EVAPORATOR
EXCHANGER,HEAT EXCHANGER
EXCHANGER,ION EXCHANGER
EXPANDER,
EXPANDER,CRYOGENIC EXPANDER
EXPANDER,EXPANDER TURBINE DRIVE
EXPANDER,EXPANDER-COMPRESSOR SYSTEM
EXPANDER,TURBO EXPANDER
EXTRACTOR,VENTILATION HOOD
EXTRUDER,AUGER EXTRUDER
EXTRUDER,PISTON EXTRUDER
EXTRUDER,SCREW EXTRUDER
EXTRUDER,extruder
Equipment for industrial-process automation,Characterization
FACILITY,AIRPORT
FACILITY,FACTORY
FACILITY,MILL
FACILITY,OFFSHORE FACILITY
FACILITY,OIL AND GAS DRILLING FACILITY
FACILITY,OIL AND GAS DRILLING RIG
FACILITY,OIL AND GAS PLATFORM
FACILITY,OIL AND GAS PRODUCTION FACILITY
FACILITY,OIL AND GAS TERMINAL
FACILITY,ONSHORE FACILITY
FACILITY,PETROLEUM INSTALLATION
FACILITY,PLANT
FACILITY,POWER PLANT
FACILITY,PROCESS PLANT
FACILITY,PROCESS TRAIN
FACILITY,PUMP STATION
FACILITY,STORAGE FACILITY
FAN,AXIAL FAN
FAN,COOLING FAN
FAN,CROSS FLOW FAN
FAN,ELECTRIC FAN
FAN,FAN FOR EM-80-0002A/B AND EM-80-0003A/B
